제품번호,물품대분류,상품명,물품판매량,제품단가
P100060,FC,라네이처 시그니처 맥시슬림 수퍼롱 오버나이트 6개입 (EA) X 3,24,0
P100061,FC,라네이처 시그니처 세트,4,38700
P100062,FC,라네이처 시그니처 울트라 날개 오버나이트 8개입,4,12425
P100063,FC,라네이처 시그니처 울트라 날개 오버나이트 8개입 (EA),5,9940
P100064,FC,라네이처 시그니처 울트라 날개 오버나이트 8개입 (EA) X 3,22,0
P100065,FC,라네이처 시그니처 울트라슬림 날개 대형 10개입 (EA),4,8875
P100066,FC,라네이처 시그니처 울트라슬림 날개 소형 14개입 (EA),11,9682
P100067,FC,라네이처 시그니처 울트라슬림 날개 중형 12개입 (EA),6,14200
P100068,FC,라네이처 시그니처 팬티라이너 롱 28개입,2,10650
P100069,FC,라네이처 시그니처 팬티라이너 롱 28개입 (EA),8,8875
P100070,FC,라네이처 시그니처 팬티라이너 롱 28개입 (EA) X 3,12,0
P100071,FC,라네이처 울트라 날개 대형 10개입,78,8827
P100072,FC,라네이처 울트라 날개 대형 10개입 X 3,6,17850
P100073,FC,라네이처 울트라 날개 소형 14개입,75,8580
P100074,FC,라네이처 울트라 날개 오버나이트 14개입,28,12214
P100075,FC,라네이처 울트라 날개 오버나이트 14개입 X 2,3,25333
P100076,FC,라네이처 울트라 날개 중형 12개입,107,8675
P100077,FC,라네이처 울트라 날개 중형 12개입 (EA),10,6120
P100078,FC,라네이처 울트라 날개 중형 12개입 X 2 + 울트라 날개 오버나이트 14개입,4,19700
P100079,FC,라네이처 울트라 날개 중형 12개입 X 3,4,15300
P100080,FC,라네이처 페미닌 워시 젤 240ml,29,17000
P100081,FC,라네이처 페미닌 워시 젤 240ml (EA),4,16000
P100082,FC,라네이처 페미닌 워시 폼 200ml,33,19061
P100083,FC,라네이처 페미닌 워시 폼 200ml (EA),8,19800
P100084,FC,라네이처 페미닌 티슈 6매 X 5개입,12,11667
P100085,FC,라네이처 페미닌 티슈 6매 X 5개입 (EA),1,6600
P100086,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입,100,9680
P100087,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 (EA),3,4950
P100088,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X 3팩,14,20036
P100089,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X 3팩 + 20주년 한정판 파우치,27,16500
P100090,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입,97,9559
P100091,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 (EA),1,10980
P100092,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 X 3팩,16,22875
P100093,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 X 3팩 + 20주년 한정판 파우치,19,18300
P100094,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 X 3팩 + 뉴 울트라 날개 중형 8매,38,18300
P100095,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입,104,9530
P100096,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 (EA),18,5035
P100097,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 2팩 + 뉴 슬림 날개 대형 14개입 + 20주년 한정판 파우치,28,16700
P100098,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 2팩 + 뉴 슬림 날개 대형 14개입 + 뉴 울트라 날개 중형 8매,26,16700
P100099,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 3팩,15,15900
P100100,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 3팩 + 20주년 한정판 파우치,53,15900
P100101,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 3팩 + 뉴 울트라 날개 중형 8매,57,15900
P100102,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입,78,7406
P100103,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입 (EA),8,5366
P100104,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입 X 3팩,16,14906
P100105,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입 X 3팩 + 20주년 한정판 파우치,25,15900
P100106,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입 X 3팩 + 뉴 울트라 날개 중형 8매,39,15900
P100107,FC,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형 4개입,25,11760
P100108,FC,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형 4개입 X 2팩,4,21000
P100109,FC,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형 4개입 X 2팩 + 20주년 한정판 파우치,8,16800
P100110,FC,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형 4개입 X 2팩 + 뉴 울트라 날개 중형 8매,12,16800
P100111,FC,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱 36 개입,91,9835
P100112,FC,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱 36 개입 X 3팩,15,16000
P100113,FC,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱 36 개입 X 3팩 + 20주년 한정판 파우치,3,15000
P100114,FC,좋은느낌 매직쿠션 울트라 날개 대형 17개입,42,10255
P100115,FC,좋은느낌 매직쿠션 울트라 날개 중형 19개입,81,10907
P100116,FC,좋은느낌 솜솜 대형 날개형 12개입,313,3623
P100117,FC,좋은느낌 솜솜 대형 날개형 12개입 (EA),19,4697
