filename,width,height,aspect_ratio,mean_R,mean_G,mean_B,std_R,std_G,std_B,brightness,contrast,min_brightness,max_brightness,median_brightness,hue,saturation,value,red_ratio,green_ratio,blue_ratio,dark_ratio,bright_ratio,edge_strength,bright_TL,bright_TC,bright_TR,bright_ML,bright_MC,bright_MR,bright_BL,bright_BC,bright_BR
IR_SU_NT_W1_H1_C3B3_0002.jpg,1920,1080,1.778,43.4,43.4,43.4,11.2,11.2,11.2,43.4,11.2,31.0,200.0,40.0,0.0,0.0,0.17,0.0,0.0,0.0,0.965,0.0,0.72,41.7,41.8,42.4,55.4,50.4,50.8,36.0,36.1,36.3
IR_SU_NT_W1_H1_C3B3_0003.jpg,1920,1080,1.778,51.2,51.2,51.2,14.7,14.7,14.7,51.2,14.7,33.0,207.0,49.0,0.0,0.0,0.201,0.0,0.0,0.0,0.909,0.0,0.79,50.9,57.4,61.7,52.0,63.1,54.2,38.6,40.6,42.7
IR_SU_NT_W1_H1_C3B3_0004.jpg,1920,1080,1.778,49.6,49.6,49.6,10.1,10.1,10.1,49.6,10.1,35.0,198.0,51.0,0.0,0.0,0.194,0.0,0.0,0.0,0.92,0.0,0.71,52.5,52.9,53.5,55.4,56.7,55.5,39.8,39.9,40.2
IR_SU_NT_W1_H1_C3C2C1_0001.jpg,1920,1080,1.778,54.2,54.2,54.2,11.3,11.3,11.3,54.2,11.3,35.0,193.0,55.0,0.0,0.0,0.213,0.0,0.0,0.0,0.806,0.0,0.7,56.8,62.9,63.1,57.9,60.7,61.3,40.7,42.2,42.5
IR_SU_NT_W1_H1_C3C2C1_0003.jpg,1920,1080,1.778,45.4,45.4,45.4,7.9,7.9,7.9,45.4,7.9,33.0,176.0,46.0,0.0,0.0,0.178,0.0,0.0,0.0,0.976,0.0,0.71,48.3,47.9,47.5,50.6,50.4,50.6,37.8,37.8,37.9
IR_SU_NT_W1_H1_C3C2C1_0004.jpg,1920,1080,1.778,49.1,49.1,49.1,9.5,9.5,9.5,49.1,9.5,34.0,203.0,48.0,0.0,0.0,0.192,0.0,0.0,0.0,0.917,0.0,0.73,52.0,51.6,52.3,55.5,55.4,55.5,39.9,39.6,39.7
IR_SU_NT_W1_H1_C3C2_0001.jpg,1920,1080,1.778,50.2,50.2,50.2,9.7,9.7,9.7,50.2,9.7,34.0,168.0,51.0,0.0,0.0,0.197,0.0,0.0,0.0,0.908,0.0,0.71,53.5,53.4,55.5,56.6,55.7,57.5,39.6,39.4,40.3
IR_SU_NT_W1_H1_C3C2_0002.jpg,1920,1080,1.778,51.0,51.0,51.0,13.6,13.6,13.6,51.0,13.6,32.0,178.0,48.0,0.0,0.0,0.2,0.0,0.0,0.0,0.84,0.0,0.76,49.8,52.0,54.0,60.6,62.7,64.0,37.9,38.8,39.0
IR_SU_NT_W1_H1_C3C2_0003.jpg,1920,1080,1.778,59.0,59.0,59.0,15.5,15.5,15.5,59.0,15.5,35.0,176.0,54.0,0.0,0.0,0.231,0.0,0.0,0.0,0.73,0.0,0.85,65.4,74.2,85.6,53.2,53.6,56.7,43.5,47.1,51.5
IR_SU_NT_W1_H1_C3C2_0004.jpg,1920,1080,1.778,49.3,49.3,49.3,9.4,9.4,9.4,49.3,9.4,35.0,173.0,49.0,0.0,0.0,0.193,0.0,0.0,0.0,0.917,0.0,0.71,54.0,51.7,51.4,55.8,55.3,55.5,40.4,39.7,39.7
IR_SU_NT_W1_H1_C3D3E3_0001.jpg,1920,1080,1.778,52.4,52.4,52.4,10.4,10.4,10.4,52.4,10.4,34.0,187.0,54.0,0.0,0.0,0.206,0.0,0.0,0.0,0.873,0.0,0.71,57.3,57.7,58.0,58.7,58.6,58.9,40.8,40.8,40.9
IR_SU_NT_W1_H1_C3D3E3_0002.jpg,1920,1080,1.778,50.4,50.4,50.4,10.7,10.7,10.7,50.4,10.7,32.0,189.0,49.0,0.0,0.0,0.197,0.0,0.0,0.0,0.895,0.0,0.71,52.5,55.6,55.3,58.9,57.5,56.0,38.6,39.5,39.4
IR_SU_NT_W1_H1_C3D3E3_0003.jpg,1920,1080,1.778,45.6,45.6,45.6,7.8,7.8,7.8,45.6,7.8,32.0,191.0,46.0,0.0,0.0,0.179,0.0,0.0,0.0,0.971,0.0,0.7,49.5,47.4,47.0,51.5,50.9,50.8,38.1,37.7,37.8
IR_SU_NT_W1_H1_C3D3E3_0004.jpg,1920,1080,1.778,49.8,49.8,49.8,9.0,9.0,9.0,49.8,9.0,34.0,187.0,52.0,0.0,0.0,0.195,0.0,0.0,0.0,0.919,0.0,0.7,52.8,53.5,54.5,55.2,55.3,56.0,40.0,40.2,40.4
IR_SU_NT_W1_H1_C3E3A3_0001.jpg,1920,1080,1.778,50.9,50.9,50.9,10.0,10.0,10.0,50.9,10.0,34.0,200.0,52.0,0.0,0.0,0.2,0.0,0.0,0.0,0.9,0.0,0.71,53.7,55.3,56.9,56.7,56.8,58.1,39.7,40.1,40.7
IR_SU_NT_W1_H1_C3E3A3_0002.jpg,1920,1080,1.778,44.5,44.5,44.5,7.7,7.7,7.7,44.5,7.7,31.0,196.0,44.0,0.0,0.0,0.175,0.0,0.0,0.0,0.971,0.0,0.69,44.9,45.8,46.3,50.2,50.5,51.0,37.2,37.4,37.6
IR_SU_NT_W1_H1_C3E3A3_0003.jpg,1920,1080,1.778,43.9,43.9,43.9,10.2,10.2,10.2,43.9,10.2,29.0,204.0,41.0,0.0,0.0,0.172,0.0,0.0,0.0,0.971,0.0,0.76,45.4,41.9,41.8,50.6,55.2,50.0,37.2,36.4,36.4
IR_SU_NT_W1_H1_C3E3A3_0004.jpg,1920,1080,1.778,49.1,49.1,49.1,9.2,9.2,9.2,49.1,9.2,34.0,201.0,50.0,0.0,0.0,0.192,0.0,0.0,0.0,0.92,0.0,0.71,51.4,52.1,52.6,55.4,55.8,55.2,39.7,39.7,39.9
IR_SU_NT_W1_H1_C3E3_0001.jpg,1920,1080,1.778,54.3,54.3,54.3,11.2,11.2,11.2,54.3,11.2,34.0,189.0,55.0,0.0,0.0,0.213,0.0,0.0,0.0,0.794,0.0,0.71,58.0,60.9,63.4,59.2,60.4,62.0,41.0,41.7,42.3
IR_SU_NT_W1_H1_C3E3_0002.jpg,1920,1080,1.778,45.2,45.2,45.2,8.3,8.3,8.3,45.2,8.3,31.0,189.0,44.0,0.0,0.0,0.177,0.0,0.0,0.0,0.958,0.0,0.69,49.5,45.8,43.6,53.3,51.5,50.8,38.2,37.3,36.5
IR_SU_NT_W1_H1_C3E3_0003.jpg,1920,1080,1.778,63.7,63.7,63.7,16.5,16.5,16.5,63.7,16.5,35.0,187.0,57.0,0.0,0.0,0.25,0.0,0.0,0.0,0.65,0.0,0.82,79.0,87.7,84.1,55.1,57.8,60.4,48.5,50.7,50.4
IR_SU_NT_W1_H1_C3E3_0004.jpg,1920,1080,1.778,51.2,51.2,51.2,9.5,9.5,9.5,51.2,9.5,28.0,182.0,53.0,0.0,0.0,0.201,0.0,0.0,0.0,0.907,0.0,0.7,54.6,56.3,57.0,56.3,56.7,57.4,40.5,40.9,41.4
