순번,생산라인코드,생산라인명,생산일자,발생시간,종료시간,오류조치시간,비가동코드,Error_Message,품목코드,품목명,오류발생작업장명
15,C088,냉동밥 취반#1,2025-10-11,15:30,17:00,90,W003318,볶음,2BA03119,홍익돈까스 야채볶음밥(재),쿠킹실
18,D087,냉동밥 내포장#2,2025-10-12,19:45,21:50,125,W0054F1,품목 교체,1BA03201,비비고닭가슴살볶음밥210g(알밥),충전실
7,D087,냉동밥 내포장#2,2025-10-13,13:25,13:50,25,W005722,공정,1BA03175,매콤낙지볶음밥(노브랜드),충전실
15,D088,냉동밥 내포장#1,2025-10-13,19:45,21:33,108,W0054F1,품목 교체,1BA03292,AAF치즈불고기볶음밥(미니팩),충전실
15,C088,냉동밥 취반#1,2025-11-15,1:20,2:20,60,W0034B1,품목 교체,2BA03257,옥수수볶음밥JB 1kg(재),쿠킹실
12,D088,냉동밥 내포장#1,2025-11-16,13:54,14:45,51,W0054F1,품목 교체,1BA03049,김치볶음밥-S,충전실
20,C088,냉동밥 취반#1,2025-11-22,2:20,3:20,60,W0034B1,품목 교체,2BA03257,옥수수볶음밥JB 1kg(재),쿠킹실
3,D088,냉동밥 내포장#1,2025-11-30,8:56,11:00,124,W0054F1,품목 교체,1BA03066,CJ새우볶음밥*5ea,충전실
12,D088,냉동밥 내포장#1,2025-11-30,23:23,0:02,39,W0054F1,품목 교체,1BA03071,CJ햄야채볶음밥/20개입,충전실
8,D088,냉동밥 내포장#1,2025-12-04,16:50,17:50,60,W005722,공정,1BA03216,AAF게살새우볶음밥(알밥)*,충전실
1,C088,냉동밥 취반#1,2025-12-05,6:55,7:55,60,W0034B1,품목 교체,2BA03066,CJ새우볶음밥(재),쿠킹실
13,C088,냉동밥 취반#1,2025-12-06,14:00,15:00,60,W0034B1,품목 교체,2BA03064,CJ해물볶음밥(재),쿠킹실
25,D088,냉동밥 내포장#1,2025-12-13,3:00,4:00,60,W005722,공정,1BA03074,CJ햄야채볶음밥3kg,충전실
14,C088,냉동밥 취반#1,2025-12-13,11:50,12:50,60,W0034B1,품목 교체,2BA03291,AAF게살새우볶음밥(미니팩)(재),쿠킹실
15,C088,냉동밥 취반#1,2025-12-14,21:50,22:20,30,W003721,충진 미종료,2BA03159,비비고깍두기볶음밥200g(재),쿠킹실
17,C088,냉동밥 취반#1,2025-12-20,13:10,14:10,60,W0034B1,품목 교체,2BA03292,AAF치즈불고기볶음밥(미니팩)(재),쿠킹실
1,D088,냉동밥 내포장#1,2025-12-21,0:35,1:40,65,W0054F1,품목 교체,1BA03119,홍익돈까스 야채볶음밥,충전실
2,D088,냉동밥 내포장#1,2025-12-21,1:40,2:36,56,W005722,공정,1BA03119,홍익돈까스 야채볶음밥,충전실
3,D088,냉동밥 내포장#1,2025-01-16,9:50,10:44,54,W005722,공정,1BA03070,CJ해물볶음밥/20개입,충전실
14,C088,냉동밥 취반#1,2025-01-23,22:30,23:30,60,W0034B1,품목 교체,2BA03303,셰프리볶음밥(재),쿠킹실
18,D087,냉동밥 내포장#2,2025-01-24,23:02,0:00,58,W005422,설비,1BA03297,비비고새우볶음밥(홈플),충전실
16,C088,냉동밥 취반#1,2025-01-27,2:10,3:10,60,W0034B1,품목 교체,2BA03176,비비고시래기나물밥200g(재),쿠킹실
6,D087,냉동밥 내포장#2,2025-01-26,10:30,11:00,30,W005721,원료,1BA03308,타이풍볶음밥E,충전실
