순번,생산라인코드,생산라인명,생산일자,발생시간,종료시간,오류조치시간,비가동코드,Error_Message,품목코드,품목명,오류발생작업장명
3,D087,냉동밥 내포장#2,2025-02-25,21:10,22:45,95,W0054F1,품목 교체,1BA03374,비비고소고기볶음밥200g(알밥),충전실
16,D087,냉동밥 내포장#2,2025-02-27,19:53,21:28,95,W0054F2,세부 세척,1BA03158,비비고불고기비빔밥200g,충전실
2,D088,냉동밥 내포장#1,2025-02-28,6:10,8:10,120,W005722,공정,1BA03389,게살볶음밥E,충전실
16,D088,냉동밥 내포장#1,2025-02-28,6:57,8:43,106,W005722,공정,1BA03369,팔도산채나물밥(알밥),충전실
2,D087,냉동밥 내포장#2,2025-03-04,8:53,10:32,99,W005722,공정,1BA03365,NEW비비고새우볶음밥210g(알밥),충전실
11,D088,냉동밥 내포장#1,2025-03-05,19:30,2:51,-999,W005722,공정,1BA03369,팔도산채나물밥(알밥),충전실
5,D088,냉동밥 내포장#1,2025-03-08,20:53,23:02,129,W005722,공정,1BA03415,한가득낙지볶음밥,충전실
12,D087,냉동밥 내포장#2,2025-03-13,4:52,6:40,108,W005722,공정,1BA03201,비비고닭가슴살볶음밥210g(알밥),충전실
11,D087,냉동밥 내포장#2,2025-03-14,21:32,23:00,88,W005722,공정,1BA03158,비비고불고기비빔밥200g,충전실
1,D088,냉동밥 내포장#1,2025-03-14,2:52,3:50,58,W0054F1,품목 교체,1BA03094,비비고곤드레밥200g,충전실
