input_row_index,대학코드,대학명,캠퍼스,지역,수능전형 상태,source_url,parse_source,parse_quality,source_table_indices,모집단위,전형구분,전형계열,전형요소_수능반영비율(%),전형요소_학생부반영비율(%),점수활용지표,반영점수 (총점),반영점수_산출식(환산계산식),국어_반영비율(%),수학_반영비율(%),영어_반영비율(%),탐구_반영비율(%),탐구_반영과목수,탐구_반영기준,선택과목_필수지정_여부,가산점_부여_내역,제2외국어/한문_탐구대체_여부,영어_반영방법,영어_등급별_환산표,한국사_반영방법,한국사_등급별_환산표(또는 가감점표)
3,215,가톨릭꽃동네대학교,본교,충북,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000215&searchSyr=2026,text,이미지 기반 자료: OCR/수기 검토 필요,,,,,,,,,,,,,,,,,,,,,,
4,46,가톨릭대학교,본교,경기,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000046&searchSyr=2026,json,구조화 테이블 파싱,4.0,"전 모집단위 ( 약학과 , 간호학과 제외 )",수능 ( 일반전형 Ⅰ ) 수능 ( 성신특별전형 ) 수능 ( 기회균형 Ⅱ 전형 ) 수능 ( 농어촌학생전형 ) 수능 ( 특성화고교 졸업자전형 ),전체/혼합,100.0,,백분위,,,30,30,20,20,1,1과목 반영,"수능 ( 일반전형 Ⅰ ) 수능 ( 성신특별전형 ) 수능 ( 기회균형 Ⅱ 전형 ) 수능 ( 농어촌학생전형 ) 수능 ( 특성화고교 졸업자전형 ) 전 모집단위 ( 약학과 , 간호학과 제외 ) 백분위 30 30 20 20 한국사 [ 감점 ] 한국사 [ 감점 ...",한국사 [ 감점 ],,비율반영,,감점,
4,46,가톨릭대학교,본교,경기,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000046&searchSyr=2026,json,구조화 테이블 파싱,4.0,간호학과,수능 ( 일반전형 Ⅰ ) 수능 ( 성신특별전형 ) 수능 ( 기회균형 Ⅱ 전형 ) 수능 ( 농어촌학생전형 ) 수능 ( 특성화고교 졸업자전형 ),자연,100.0,,표준점수,,,30,40,,30,2,2과목 반영,,"영어 , 한국사 [ 감점 ]",,감점,,감점,
4,46,가톨릭대학교,본교,경기,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000046&searchSyr=2026,json,구조화 테이블 파싱,4.0,약학과,수능 ( 일반전형 Ⅰ ) 수능 ( 성신특별전형 ) 수능 ( 기회균형 Ⅱ 전형 ) 수능 ( 농어촌학생전형 ) 수능 ( 특성화고교 졸업자전형 ),자연,100.0,,표준점수,,,30,40,,30,2,2과목 반영,탐구 선택과목 관련 조건 존재,"과탐 과목당 3%[ 가산점 ] 영어 , 한국사 [ 감점 ]",,감점,,감점,
4,46,가톨릭대학교,본교,경기,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000046&searchSyr=2026,json,구조화 테이블 파싱,4.0,의예과,수능 ( 일반전형 의예과 ),자연,95.0,,표준점수,,,30,40,,30,2,2과목 반영,탐구 선택과목 관련 조건 존재,"과탐 과목당 3%[ 가산점 ] 영어 , 한국사 [ 감점 ]",,감점,,감점,
4,46,가톨릭대학교,본교,경기,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000046&searchSyr=2026,json,구조화 테이블 파싱,4.0,"자유전공학부 , 인문사회계열 , 자연공학계열",수능 ( 일반전형 Ⅱ ),인문,100.0,,백분위,,,"국어 , 수학 중 우수한 영역 50","국어 , 수학 중 우수한 영역 50",,50,,우수/상위 과목,"수능 ( 일반전형 Ⅱ ) 자유전공학부 , 인문사회계열 , 자연공학계열 백분위 국어 , 수학 중 우수한 영역 50 국어 , 수학 중 우수한 영역 50 - 50 영어 , 한국사 [ 감점 ] 영어 , 한국사 [ 감점 ]","영어 , 한국사 [ 감점 ]",,감점,,감점,
4,46,가톨릭대학교,본교,경기,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000046&searchSyr=2026,json,구조화 테이블 파싱,4.0,음악과,실기 ( 일반전형 ),예체능,100.0,,백분위,,,50,,50,,,,,한국사 [ 감점 ],,비율반영,,감점,
7,50,감리교신학대학교,본교,서울,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000050&searchSyr=2026,json,구조화 테이블 파싱,3.0,,,,80.0,,"1. 백분위 : 국어 , 탐구영역 2. 등급 : 영어",,,40,,40,"20 ( 사탐 , 과탐 또는 직탐 중 최고 1 과목 )",1,1과목 반영,탐구 선택과목 관련 조건 존재,영어 등급을 백분위로 환산 후 반영,,비율반영,,,
8,51,강남대학교,본교,경기,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000051&searchSyr=2026,json,구조화 테이블 파싱,3.0,계 열,,,100.0,,,,"( 미적분 또는 기하 )x1.07x0.35) 또는 ( 수학 ( 확률과 통계 )x0.35)+( 국어 x0.25)+( 영어 x0.2)+( 탐구 높은 과목 x0.2)}÷100]×1000 디자인학과 우수한 영역이 국어일 경우 [{( 국어 x0.4)+( 수학 x0. / ( 미적분 또는 기하 )x1.07x0.4)+( 국어 x0.2)+( 영어 x0.2)+( 탐구 높은 과목 x0.2)}÷100]×1000 우수한 영역이 수학 ( 확률과 통계 ) 일 경우 [{( 수학 ( 확률과 통계 )×0.4)+( 국어 x0.2)+( 영어 x0 / ( 야 ) 반영비율 35% 25% 20% 20% * 탐구영역은 사회 , 과학 , 직업 반영 * 반영과목은 상위 1 과목 반영 가산점 - - - 예체능계 반영비율 우수한 영역 순 40%, 20% ( 동일할 경우 국어 우선 반영 ) 20% 20% 가산점 - - - 공학계 반영비율 25% 35% 20% 20% 가산점 - - - 미적분 , 기하 응시자 가산점 7% - - 자유",국어:화법과 작문; 국어:화법과 작문; 국어:언어와 매체,수학:확률과 통계; 수학:미적분; 수학:미적분; 수학:기하,영어,탐구,,,수학 선택과목 관련 조건 존재,비 고,,등급별 환산점수,"[{""구분"":""환산점수"",""점수"":{""1등급"":100,""2등급"":95,""3등급"":90,""4등급"":80,""5등급"":70,""6등급"":50,""7등급"":30,""8등급"":10,""9등급"":0},""table_index"":4}]",,
8,51,강남대학교,본교,경기,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000051&searchSyr=2026,json,구조화 테이블 파싱,3.0,"인문사회계 , 자유전공학부 ( 야 )",,인문,100.0,,,,"( 미적분 또는 기하 )x1.07x0.35) 또는 ( 수학 ( 확률과 통계 )x0.35)+( 국어 x0.25)+( 영어 x0.2)+( 탐구 높은 과목 x0.2)}÷100]×1000 디자인학과 우수한 영역이 국어일 경우 [{( 국어 x0.4)+( 수학 x0. / ( 미적분 또는 기하 )x1.07x0.4)+( 국어 x0.2)+( 영어 x0.2)+( 탐구 높은 과목 x0.2)}÷100]×1000 우수한 영역이 수학 ( 확률과 통계 ) 일 경우 [{( 수학 ( 확률과 통계 )×0.4)+( 국어 x0.2)+( 영어 x0 / ( 야 ) 반영비율 35% 25% 20% 20% * 탐구영역은 사회 , 과학 , 직업 반영 * 반영과목은 상위 1 과목 반영 가산점 - - - 예체능계 반영비율 우수한 영역 순 40%, 20% ( 동일할 경우 국어 우선 반영 ) 20% 20% 가산점 - - - 공학계 반영비율 25% 35% 20% 20% 가산점 - - - 미적분 , 기하 응시자 가산점 7% - - 자유",35,25,20,20,1,우수/상위 과목,,"* 탐구영역은 사회 , 과학 , 직업 반영 * 반영과목은 상위 1 과목 반영",,비율반영,"[{""구분"":""환산점수"",""점수"":{""1등급"":100,""2등급"":95,""3등급"":90,""4등급"":80,""5등급"":70,""6등급"":50,""7등급"":30,""8등급"":10,""9등급"":0},""table_index"":4}]",,
